weekday,총비용,총전환,총클릭,총노출,일수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
월,3308064,128,1727,264466,5,16.6,17.5,25844.0,0.65,7.41,1.05
화,3921194,107,1885,303013,5,19.7,14.6,36647.0,0.62,5.68,0.74
수,2643388,100,1340,234878,4,13.3,13.7,26434.0,0.57,7.46,1.03
목,2914664,101,1620,224461,4,14.6,13.8,28858.0,0.72,6.23,0.95
금,2852950,116,1987,230658,4,14.3,15.8,24594.0,0.86,5.84,1.1
토,1989874,82,1428,178820,4,10.0,11.2,24267.0,0.8,5.74,1.12
일,2297222,98,1795,212075,5,11.5,13.4,23441.0,0.85,5.46,1.17
