소재구분,소재유형,소재명,집행지점목록,집행지점분포,집행지점수,총비용,총전환,총클릭,총노출,총랜딩,집행일수,귀속주의건수,매칭키,CPA,CTR,CVR,랜딩률,평가가능,TIER,TIER_근거,지점편중주석,지점별_상대평가
재가공,인플방문후기,체지방만쏙빼는(부산잇츠),['대구' '부평' '서울' '수원' '일산' '창원' '천안'],"{'대구': 35.0, '부평': 35.0, '서울': 35.0, '수원': 35.0, '일산': 30.0, '창원': 35.0, '천안': 35.0}",7,2622070,95,2169,290890,1430,7,4,인플방문후기_체지방만쏙빼는(부산잇츠),27601.0,0.75,4.38,65.9,True,TIER4,TIER1~3 조건 미충족,,[X] 대구 LOW (152%)
재가공,진료셀프캠,주사형비만치료제 고민끝에 -32kg 가능했던,['창원'],"{'대구': None, '부평': None, '서울': None, '수원': None, '일산': None, '창원': 10.0, '천안': None}",1,60634,5,53,6056,28,2,1,진료셀프캠_주사형비만치료제 고민끝에 -32kg 가능했던,12127.0,0.88,9.43,52.8,False,UNCLASSIFIED,집행 2일 — 데이터 누적 중,"[!] 창원 100% 집중 (지점 평균 CPA 48,417원)",[V] 창원 TOP (25%)
재가공,진료셀프캠,주사형비만치료제 고민끝에 40대부부 -32kg,['일산' '천안'],"{'대구': None, '부평': None, '서울': None, '수원': None, '일산': 9.0, '창원': None, '천안': 10.0}",2,123741,4,99,10623,61,2,0,진료셀프캠_주사형비만치료제 고민끝에 40대부부 -32kg,30935.0,0.93,4.04,61.6,False,UNCLASSIFIED,집행 2일 — 데이터 누적 중,,[X] 일산 LOW (214%)
재가공,진료셀프캠,주사형비만치료제 고민끝에 50대부부 -32kg,['부평' '수원'],"{'대구': None, '부평': 10.0, '서울': None, '수원': 10.0, '일산': None, '창원': None, '천안': None}",2,284760,9,199,28838,121,2,1,진료셀프캠_주사형비만치료제 고민끝에 50대부부 -32kg,31640.0,0.69,4.52,60.8,False,UNCLASSIFIED,집행 2일 — 데이터 누적 중,,[V] 수원 TOP (67%)
