age_group,총비용,총전환,총클릭,총노출,귀속주의,비용비중,전환비중,CPA,CTR,예산효율점수,효율판정,신뢰도주의
25-34,2113457,33,2458,483104,0,14.6,7.3,64044.0,0.51,0.5,⬇️ 효율 낮음 — 소재/타겟 최적화 검토,
35-44,3294612,115,2107,407921,3,22.8,25.6,28649.0,0.52,1.12,➡️ 양호,⚠️ 귀속 주의 3건 포함
45-54,5091283,171,3210,453409,2,35.2,38.1,29774.0,0.71,1.08,➡️ 양호,⚠️ 귀속 주의 2건 포함
≥55,3959472,130,2844,381389,3,27.4,29.0,30457.0,0.75,1.06,➡️ 양호,⚠️ 귀속 주의 3건 포함
