소재유형,신규_소재수,신규_CTR,신규_CVR,신규_CPA,재가공_소재수,재가공_CTR,재가공_CVR,재가공_CPA,CTR_변화율,CVR_변화율,CPA_변화율,훅판정
의료진정보,3,0.65,5.46,25028.0,0,,,,,,,데이터 부족 — 판정 불가
인플방문후기,3,0.53,5.9,20360.0,1,0.75,4.38,27601.0,41.5,-25.8,35.6,재가공 효과 없음 — 원본 훅 복귀 검토
진료셀프캠,3,0.61,5.65,26189.0,3,0.77,5.13,26063.0,26.2,-9.2,-0.5,재가공 효과 없음 — 원본 훅 복귀 검토
