소재유형,신규_소재수,신규_CTR,신규_CVR,신규_CPA,재가공_소재수,재가공_CTR,재가공_CVR,재가공_CPA,CTR_변화율,CVR_변화율,CPA_변화율,훅판정
의료진정보,1,0.55,3.85,42452.0,1,0.29,4.84,37987.0,-47.3,25.7,-10.5,"부분 효과 — 클릭 DOWN, 전환 UP (정밀 타겟팅 가능성)"
인플방문후기,2,0.52,6.86,27980.0,5,0.6,9.02,18067.0,15.4,31.5,-35.4,"재가공 유효 — 클릭, 전환 모두 개선"
진료셀프캠,0,,,,8,0.69,7.68,24731.0,,,,데이터 부족 — 판정 불가
