소재유형,총비용,총전환,총클릭,총노출,소재수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
진료셀프캠,10734622,427,5646,823336,8,70.2,71.2,25140.0,0.69,7.56,1.01
인플방문후기,4278635,164,2291,433480,7,28.0,27.3,26089.0,0.53,7.16,0.98
의료진정보,278228,9,137,37422,2,1.8,1.5,30914.0,0.37,6.57,0.83
