weekday,총비용,총전환,총클릭,총노출,일수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
월,4382503,146,2169,375295,5,20.2,19.9,30017.0,0.58,6.73,0.99
화,3725394,121,1847,303818,5,17.2,16.5,30788.0,0.61,6.55,0.96
수,2597927,100,1400,264725,4,12.0,13.6,25979.0,0.53,7.14,1.13
목,2788529,83,1381,255569,4,12.9,11.3,33597.0,0.54,6.01,0.88
금,3139781,100,1615,307266,4,14.5,13.6,31398.0,0.53,6.19,0.94
토,2977525,112,1746,268444,4,13.7,15.2,26585.0,0.65,6.41,1.11
일,2079888,73,1126,171826,5,9.6,9.9,28492.0,0.66,6.48,1.03
