hour,총비용,총전환,총클릭,총노출,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
0,732750,20,449,68242,4.3,3.5,36638.0,0.66,4.45,0.81
1,478791,33,295,44173,2.8,5.8,14509.0,0.67,11.19,2.07
2,317514,8,195,27544,1.9,1.4,39689.0,0.71,4.1,0.74
3,243237,8,148,20126,1.4,1.4,30405.0,0.74,5.41,1.0
4,259214,11,140,18409,1.5,1.9,23565.0,0.76,7.86,1.27
5,361084,8,178,22937,2.1,1.4,45136.0,0.78,4.49,0.67
6,674064,26,414,41295,3.9,4.6,25926.0,1.0,6.28,1.18
7,929133,21,500,62175,5.4,3.7,44244.0,0.8,4.2,0.69
8,889521,24,432,62470,5.2,4.2,37063.0,0.69,5.56,0.81
9,805188,37,386,56985,4.7,6.5,21762.0,0.68,9.59,1.38
10,794568,34,344,57513,4.6,6.0,23370.0,0.6,9.88,1.3
11,734039,11,288,54991,4.3,1.9,66731.0,0.52,3.82,0.44
12,674207,22,304,58498,3.9,3.9,30646.0,0.52,7.24,1.0
13,670753,18,280,60281,3.9,3.2,37264.0,0.46,6.43,0.82
14,650742,9,308,61214,3.8,1.6,72305.0,0.5,2.92,0.42
15,734567,23,359,73591,4.3,4.0,31938.0,0.49,6.41,0.93
16,764352,22,410,85551,4.5,3.9,34743.0,0.48,5.37,0.87
17,810553,19,399,87861,4.7,3.3,42661.0,0.45,4.76,0.7
18,826577,21,424,85782,4.8,3.7,39361.0,0.49,4.95,0.77
19,867428,26,421,87748,5.1,4.6,33363.0,0.48,6.18,0.9
20,954208,42,475,99467,5.6,7.4,22719.0,0.48,8.84,1.32
21,1016126,37,577,106820,5.9,6.5,27463.0,0.54,6.41,1.1
22,1012128,51,577,108484,5.9,9.0,19846.0,0.53,8.84,1.53
23,939723,38,555,99377,5.5,6.7,24730.0,0.56,6.85,1.22
