age_group,총비용,총전환,총클릭,총노출,귀속주의,비용비중,전환비중,CPA,CTR,예산효율점수,효율판정,신뢰도주의
25-34,418116,5,294,82091,0,2.5,0.9,83623.0,0.36,0.36,🔴 비효율 — 해당 나이대 맞춤 소재 개발 필요,
35-44,4195738,130,2065,471923,2,25.4,24.4,32275.0,0.44,0.96,➡️ 양호,⚠️ 귀속 주의 2건 포함
45-54,7161739,230,3620,555883,5,43.4,43.2,31138.0,0.65,1.0,➡️ 양호,⚠️ 귀속 주의 5건 포함
≥55,4720352,168,2621,399692,4,28.6,31.5,28097.0,0.66,1.1,➡️ 양호,⚠️ 귀속 주의 4건 포함
