소재유형,총비용,총전환,총클릭,총노출,소재수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
인플방문후기,319746,18,168,38031,1,7.4,7.9,17764.0,0.44,10.71,1.07
진료셀프캠,4004675,210,3481,349896,11,92.6,92.1,19070.0,0.99,6.03,0.99
의료진정보,2372,0,2,312,1,0.1,0.0,,0.64,0.0,0.0
