weekday,총비용,총전환,총클릭,총노출,일수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
월,321193,22,182,25384,1,7.4,9.6,14600.0,0.72,12.09,1.3
화,272203,9,146,17851,1,6.3,3.9,30245.0,0.82,6.16,0.62
수,163509,8,101,10450,1,3.8,3.5,20439.0,0.97,7.92,0.92
목,611432,21,338,42574,1,14.0,9.1,29116.0,0.79,6.21,0.65
금,1031836,69,957,88505,2,23.7,30.0,14954.0,1.08,7.21,1.27
토,976057,50,901,102367,2,22.4,21.7,19521.0,0.88,5.55,0.97
일,976170,51,1049,104426,2,22.4,22.2,19141.0,1.0,4.86,0.99
