소재구분_신규,소재유형,소재명,집행지점목록_신규,집행지점분포_신규,집행지점수_신규,총비용_신규,총전환_신규,총클릭_신규,총노출_신규,총랜딩_신규,집행일수_신규,귀속주의건수_신규,매칭키_신규,CPA_신규,CTR_신규,CVR_신규,랜딩률_신규,평가가능_신규,TIER_신규,TIER_근거_신규,지점편중주석_신규,지점별_상대평가_신규,소재구분_재가공,집행지점목록_재가공,집행지점분포_재가공,집행지점수_재가공,총비용_재가공,총전환_재가공,총클릭_재가공,총노출_재가공,총랜딩_재가공,집행일수_재가공,귀속주의건수_재가공,매칭키_재가공,CPA_재가공,CTR_재가공,CVR_재가공,랜딩률_재가공,평가가능_재가공,TIER_재가공,TIER_근거_재가공,지점편중주석_재가공,지점별_상대평가_재가공,match_type,CTR_변화율,CTR_변화,CVR_변화율,CVR_변화,CPA_변화율,CPA_변화,훅판정
신규,진료셀프캠,다이어트 실패 진짜 이유,['대구'],{'대구': 11},1,5925,1,9,1699,0,3,0,진료셀프캠_다이어트 실패 진짜 이유,5925.0,0.53,11.11,0.0,False,UNCLASSIFIED,집행 3일 — 데이터 누적 중,"[!] 대구 100% 집중 (지점 평균 CPA 22,570원)",[V] 대구 TOP (26%) | [V] 일산 TOP (55%),재가공,"['대전', '부산', '부평', '서울', '수원', '일산', '창원', '천안']","{'부산': 11, '일산': 11, '수원': 11, '서울': 11, '대전': 11, '부평': 10, '창원': 10, '천안': 9}",8,70872,3,65,14194,0,3,1,진료셀프캠_다이어트 실패 진짜 이유,23624.0,0.46,4.62,0.0,False,UNCLASSIFIED,집행 3일 — 데이터 누적 중,,[V] 대구 TOP (26%) | [V] 일산 TOP (55%),strict,-13.2,0.53% -> 0.46% (-13.2%),-58.4,11.11% -> 4.62% (-58.4%),298.7,"5,925원 -> 23,624원 (+298.7%)",재가공 효과 없음 — 원본 훅 복귀 검토
신규,진료셀프캠,쉬운다이어트함정,['대구'],{'대구': 11},1,6595,0,3,1956,0,3,0,진료셀프캠_쉬운다이어트함정,,0.15,0.0,0.0,False,UNCLASSIFIED,집행 3일 — 데이터 누적 중,"[!] 대구 100% 집중 (지점 평균 CPA 22,570원)",[V] 부평 TOP (20%) | [V] 일산 TOP (30%) | [V] 창원 TOP (20%),재가공,"['대전', '부산', '부평', '서울', '수원', '일산', '창원', '천안']","{'부평': 12, '창원': 11, '부산': 10, '일산': 10, '대전': 10, '천안': 10, '서울': 10, '수원': 9}",8,64334,5,58,13620,0,3,0,진료셀프캠_쉬운다이어트함정,12867.0,0.43,8.62,0.0,False,UNCLASSIFIED,집행 3일 — 데이터 누적 중,,[V] 부평 TOP (20%) | [V] 일산 TOP (30%) | [V] 창원 TOP (20%),strict,186.7,0.15% -> 0.43% (+186.7%),,N/A,,N/A,"재가공 유효 — 클릭, 전환 모두 개선"
