소재유형,신규_소재수,신규_CTR,신규_CVR,신규_CPA,재가공_소재수,재가공_CTR,재가공_CVR,재가공_CPA,CTR_변화율,CVR_변화율,CPA_변화율,훅판정
의료진정보,1,0.64,0.0,,0,,,,,,,데이터 부족 — 판정 불가
인플방문후기,1,0.44,10.71,17764.0,0,,,,,,,데이터 부족 — 판정 불가
진료셀프캠,3,1.35,3.54,21802.0,10,0.8,8.33,18002.0,-40.7,135.3,-17.4,"부분 효과 — 클릭 DOWN, 전환 UP (정밀 타겟팅 가능성)"
