age_group,총비용,총전환,총클릭,총노출,귀속주의,비용비중,전환비중,CPA,CTR,예산효율점수,효율판정,신뢰도주의
25-34,256149,4,194,50434,0,2.8,1.3,64037.0,0.38,0.46,🔴 비효율 — 해당 나이대 맞춤 소재 개발 필요,
35-44,2294246,76,1211,262001,2,25.4,24.4,30187.0,0.46,0.96,➡️ 양호,⚠️ 귀속 주의 2건 포함
45-54,3865846,137,1963,307898,3,42.8,43.9,28218.0,0.64,1.03,➡️ 양호,⚠️ 귀속 주의 3건 포함
≥55,2613073,95,1502,225016,4,28.9,30.4,27506.0,0.67,1.05,➡️ 양호,⚠️ 귀속 주의 4건 포함
