소재유형,신규_소재수,신규_CTR,신규_CVR,신규_CPA,재가공_소재수,재가공_CTR,재가공_CVR,재가공_CPA,CTR_변화율,CVR_변화율,CPA_변화율,훅판정
의료진정보,1,0.56,3.45,47123.0,1,0.31,5.77,31164.0,-44.6,67.2,-33.9,"부분 효과 — 클릭 DOWN, 전환 UP (정밀 타겟팅 가능성)"
인플방문후기,3,0.6,6.95,26920.0,6,0.52,7.53,23727.0,-13.3,8.3,-11.9,"부분 효과 — 클릭 DOWN, 전환 UP (정밀 타겟팅 가능성)"
진료셀프캠,1,0.57,6.44,27032.0,7,0.72,8.18,21514.0,26.3,27.0,-20.4,"재가공 유효 — 클릭, 전환 모두 개선"
