소재유형,총비용,총전환,총클릭,총노출,소재수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
진료셀프캠,5360415,240,3074,432348,8,54.0,59.0,22335.0,0.71,7.81,1.09
인플방문후기,4338464,160,2322,420625,9,43.7,39.3,27115.0,0.55,6.89,0.9
의료진정보,224233,7,108,27904,2,2.3,1.7,32033.0,0.39,6.48,0.74
