weekday,총비용,총전환,총클릭,총노출,일수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
월,3495526,110,1763,322760,5,19.8,18.5,31778.0,0.55,6.24,0.93
화,3016781,93,1496,252859,5,17.1,15.6,32439.0,0.59,6.22,0.91
수,2175523,81,1161,190858,4,12.3,13.6,26858.0,0.61,6.98,1.11
목,2475442,77,1192,210818,4,14.0,12.9,32149.0,0.57,6.46,0.92
금,2441864,91,1240,244903,4,13.8,15.3,26834.0,0.51,7.34,1.11
토,2482106,98,1453,233315,4,14.1,16.4,25328.0,0.62,6.74,1.16
일,1553968,46,773,140207,5,8.8,7.7,33782.0,0.55,5.95,0.88
