소재유형,총비용,총전환,총클릭,총노출,소재수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
진료셀프캠,5508634,246,3079,432201,7,68.5,73.0,22393.0,0.71,7.99,1.07
인플방문후기,2533910,91,1183,289236,2,31.5,27.0,27845.0,0.41,7.69,0.86
