age_group,총비용,총전환,총클릭,총노출,귀속주의,비용비중,전환비중,CPA,CTR,예산효율점수,효율판정,신뢰도주의
25-34,477447,6,318,90786,0,2.2,0.8,79574.0,0.35,0.36,🔴 비효율 — 해당 나이대 맞춤 소재 개발 필요,
35-44,5317206,168,2571,585227,3,24.4,23.3,31650.0,0.44,0.95,➡️ 양호,⚠️ 귀속 주의 3건 포함
45-54,9470016,320,4759,724787,5,43.5,44.3,29594.0,0.66,1.02,➡️ 양호,⚠️ 귀속 주의 5건 포함
≥55,6504710,228,3618,530155,6,29.9,31.6,28529.0,0.68,1.06,➡️ 양호,⚠️ 귀속 주의 6건 포함
