소재유형,신규_소재수,신규_CTR,신규_CVR,신규_CPA,재가공_소재수,재가공_CTR,재가공_CVR,재가공_CPA,CTR_변화율,CVR_변화율,CPA_변화율,훅판정
인플방문후기,1,0.41,7.5,28771.0,1,0.72,10.0,9116.0,75.6,33.3,-68.3,"재가공 유효 — 클릭, 전환 모두 개선"
진료셀프캠,0,,,,7,0.69,8.3,21525.0,,,,데이터 부족 — 판정 불가
