weekday,총비용,총전환,총클릭,총노출,일수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
월,4156602,151,2092,356761,5,17.8,18.9,27527.0,0.59,7.22,1.06
화,4651040,130,2200,383306,5,19.9,16.3,35777.0,0.57,5.91,0.82
수,3578387,135,1852,339969,5,15.3,16.9,26507.0,0.54,7.29,1.1
목,3013211,94,1509,271130,4,12.9,11.8,32055.0,0.56,6.23,0.91
금,2906631,107,1563,282623,4,12.5,13.4,27165.0,0.55,6.85,1.07
토,3080906,107,1804,278967,4,13.2,13.4,28794.0,0.65,5.93,1.02
일,1935788,75,1151,169892,4,8.3,9.4,25811.0,0.68,6.52,1.13
