hour,총비용,총전환,총클릭,총노출,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
0,871911,28,545,80767,4.0,3.7,31140.0,0.67,5.14,0.92
1,572948,38,359,52283,2.6,5.1,15078.0,0.69,10.58,1.96
2,393237,14,250,33881,1.8,1.9,28088.0,0.74,5.6,1.06
3,313203,11,197,25260,1.4,1.5,28473.0,0.78,5.58,1.07
4,331816,11,181,23571,1.5,1.5,30165.0,0.77,6.08,1.0
5,480288,13,246,29570,2.2,1.7,36945.0,0.83,5.28,0.77
6,861459,34,507,51695,3.9,4.5,25337.0,0.98,6.71,1.15
7,1161667,26,590,75555,5.3,3.5,44680.0,0.78,4.41,0.66
8,1132547,28,549,78419,5.2,3.7,40448.0,0.7,5.1,0.71
9,999092,40,508,71948,4.6,5.3,24977.0,0.71,7.87,1.15
10,959381,45,438,70351,4.4,6.0,21320.0,0.62,10.27,1.36
11,949764,17,381,71965,4.3,2.3,55868.0,0.53,4.46,0.53
12,938531,37,420,79595,4.3,4.9,25366.0,0.53,8.81,1.14
13,929710,24,386,79649,4.3,3.2,38738.0,0.48,6.22,0.74
14,890244,15,422,80825,4.1,2.0,59350.0,0.52,3.55,0.49
15,1014781,30,477,98065,4.6,4.0,33826.0,0.49,6.29,0.87
16,1042232,27,548,110446,4.8,3.6,38601.0,0.5,4.93,0.75
17,1081421,25,513,112742,4.9,3.3,43257.0,0.46,4.87,0.67
18,1085099,29,530,109945,5.0,3.9,37417.0,0.48,5.47,0.78
19,1109755,36,549,109822,5.1,4.8,30827.0,0.5,6.56,0.94
20,1201995,51,605,121238,5.5,6.8,23569.0,0.5,8.43,1.24
21,1232551,56,725,127330,5.6,7.4,22010.0,0.57,7.72,1.32
22,1218558,69,718,128652,5.6,9.2,17660.0,0.56,9.61,1.64
23,1103151,48,681,115520,5.0,6.4,22982.0,0.59,7.05,1.28
