hour,총비용,총전환,총클릭,총노출,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
0,449443,9,274,42477,4.4,2.5,49938.0,0.65,3.28,0.57
1,318412,30,205,30304,3.1,8.3,10614.0,0.68,14.63,2.68
2,214334,7,135,19731,2.1,1.9,30619.0,0.68,5.19,0.9
3,170762,7,100,14498,1.7,1.9,24395.0,0.69,7.0,1.12
4,174676,9,91,13070,1.7,2.5,19408.0,0.7,9.89,1.47
5,232739,5,119,15880,2.3,1.4,46548.0,0.75,4.2,0.61
6,425335,19,265,28383,4.1,5.3,22386.0,0.93,7.17,1.29
7,603211,12,338,44403,5.9,3.3,50268.0,0.76,3.55,0.56
8,600996,18,298,45367,5.8,5.0,33389.0,0.66,6.04,0.86
9,511831,17,245,38483,5.0,4.7,30108.0,0.64,6.94,0.94
10,487276,21,224,36886,4.7,5.8,23204.0,0.61,9.38,1.23
11,406765,8,141,31138,3.9,2.2,50846.0,0.45,5.67,0.56
12,395220,12,185,36035,3.8,3.3,32935.0,0.51,6.49,0.87
13,405600,12,170,37752,3.9,3.3,33800.0,0.45,7.06,0.85
14,407408,7,205,40477,4.0,1.9,58201.0,0.51,3.41,0.48
15,472227,17,237,50527,4.6,4.7,27778.0,0.47,7.17,1.02
16,475902,13,272,55980,4.6,3.6,36608.0,0.49,4.78,0.78
17,502165,14,255,57232,4.9,3.9,35869.0,0.45,5.49,0.8
18,501383,16,257,54094,4.9,4.4,31336.0,0.48,6.23,0.9
19,493268,14,235,48674,4.8,3.9,35233.0,0.48,5.96,0.81
20,516745,25,260,53141,5.0,6.9,20670.0,0.49,9.62,1.38
21,547774,18,308,54603,5.3,5.0,30432.0,0.56,5.84,0.94
22,526155,25,317,56340,5.1,6.9,21046.0,0.56,7.89,1.35
23,468229,26,292,50312,4.5,7.2,18009.0,0.58,8.9,1.6
