소재유형,신규_소재수,신규_CTR,신규_CVR,신규_CPA,재가공_소재수,재가공_CTR,재가공_CVR,재가공_CPA,CTR_변화율,CVR_변화율,CPA_변화율,훅판정
의료진정보,1,0.56,3.74,43434.0,1,0.3,5.66,31855.0,-46.4,51.3,-26.7,"부분 효과 — 클릭 DOWN, 전환 UP (정밀 타겟팅 가능성)"
인플방문후기,3,0.58,7.01,26745.0,6,0.51,7.4,24117.0,-12.1,5.6,-9.8,"부분 효과 — 클릭 DOWN, 전환 UP (정밀 타겟팅 가능성)"
진료셀프캠,1,0.57,6.45,27146.0,7,0.71,8.16,21826.0,24.6,26.5,-19.6,"재가공 유효 — 클릭, 전환 모두 개선"
