소재유형,총비용,총전환,총클릭,총노출,소재수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
진료셀프캠,5756170,254,3257,464940,8,55.1,59.6,22662.0,0.7,7.8,1.08
인플방문후기,4455223,164,2384,438935,9,42.7,38.5,27166.0,0.54,6.88,0.9
의료진정보,229163,8,111,28797,2,2.2,1.9,28645.0,0.39,7.21,0.86
