weekday,총비용,총전환,총클릭,총노출,일수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
월,3495526,110,1763,322760,5,19.2,17.9,31778.0,0.55,6.24,0.93
화,3534225,111,1744,304654,5,19.5,18.0,31840.0,0.57,6.36,0.92
수,2175523,81,1161,190858,4,12.0,13.2,26858.0,0.61,6.98,1.1
목,2475442,77,1192,210818,4,13.6,12.5,32149.0,0.57,6.46,0.92
금,2441864,91,1240,244903,4,13.4,14.8,26834.0,0.51,7.34,1.1
토,2482106,99,1453,233315,4,13.7,16.1,25072.0,0.62,6.81,1.18
일,1553968,46,773,140207,5,8.6,7.5,33782.0,0.55,5.95,0.87
