age_group,총비용,총전환,총클릭,총노출,귀속주의,비용비중,전환비중,CPA,CTR,예산효율점수,효율판정,신뢰도주의
25-34,279819,4,207,54731,0,2.8,1.2,69955.0,0.38,0.43,🔴 비효율 — 해당 나이대 맞춤 소재 개발 필요,
35-44,2574375,84,1324,293032,2,25.7,24.6,30647.0,0.45,0.96,➡️ 양호,⚠️ 귀속 주의 2건 포함
45-54,4290023,145,2153,340328,3,42.8,42.5,29586.0,0.63,0.99,➡️ 양호,⚠️ 귀속 주의 3건 포함
≥55,2869932,108,1631,246486,4,28.7,31.7,26573.0,0.66,1.1,➡️ 양호,⚠️ 귀속 주의 4건 포함
