weekday,총비용,총전환,총클릭,총노출,일수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
월,1749012,64,784,135461,2,17.8,18.3,27328.0,0.58,8.16,1.03
화,2179564,44,913,162931,2,22.1,12.6,49536.0,0.56,4.82,0.57
수,1048078,40,504,79974,2,10.6,11.4,26202.0,0.63,7.94,1.08
목,1460159,48,756,103835,2,14.8,13.7,30420.0,0.73,6.35,0.93
금,600658,41,487,49629,2,6.1,11.7,14650.0,0.98,8.42,1.92
토,1402450,52,802,114430,2,14.2,14.9,26970.0,0.7,6.48,1.05
일,1402631,61,842,121357,2,14.3,17.4,22994.0,0.69,7.24,1.22
