소재유형,총비용,총전환,총클릭,총노출,소재수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
진료셀프캠,7175553,283,3864,489437,9,89.3,90.4,25355.0,0.79,7.32,1.01
인플방문후기,855624,30,390,98715,2,10.7,9.6,28521.0,0.4,7.69,0.9
의료진정보,660,0,1,120,1,0.0,0.0,,0.83,0.0,
