소재구분,소재유형,소재명,집행지점목록,총비용,총전환,총클릭,총노출,마지막집행일,집행일수,CPA,CTR,CVR,상태
신규,의료진정보,주사형비만치료제 10년은,"['대구', '부평', '서울', '수원', '창원', '천안']",33044,0,14,4870,2026-05-07,13,,0.29,0.0,OFF
신규,인플방문후기,건강한다이어트(박고경),['부평'],0,0,0,0,2026-05-06,11,,,,OFF
신규,인플방문후기,먹으면서 다이어트(대읽남),['대구'],0,0,0,0,2026-05-06,10,,,,OFF
신규,인플방문후기,밥빵면안당기는원장님(itsmeyuriwon),"['대구', '대전', '부평', '서울', '수원', '일산', '창원', '천안']",550937,9,271,34554,2026-05-07,13,61215.0,0.78,3.32,OFF
재가공,의료진정보,4050나잇살 이유는 여기에,"['수원', '창원', '천안']",15926,0,7,3156,2026-05-06,11,,0.22,0.0,OFF
재가공,의료진정보,무작정운동으로 팩폭,"['대구', '부평', '서울', '수원', '일산', '창원']",0,0,0,0,2026-05-05,11,,,,OFF
재가공,의료진정보,비만주사요요 탄수중독,['대구'],0,0,0,0,2026-04-25,1,,,,OFF
재가공,인플방문후기,"건강한다이어트(대구,박고경)",['대구'],40316,0,32,5125,2026-05-07,13,,0.62,0.0,OFF
재가공,인플방문후기,"건강한다이어트(대전, 박고경)",['대전'],0,0,0,0,2026-05-06,4,,,,OFF
재가공,인플방문후기,"건강한다이어트(수원,박고경)",['수원'],0,0,0,0,2026-05-05,10,,,,OFF
재가공,인플방문후기,"건강한다이어트(일산, 박고경)",['일산'],0,0,0,0,2026-05-04,5,,,,OFF
재가공,인플방문후기,"건강한다이어트(창원,박고경)",['창원'],0,0,0,0,2026-05-04,6,,,,OFF
재가공,인플방문후기,"건강한다이어트(천안, 박고경)",['천안'],0,0,0,0,2026-05-04,9,,,,OFF
재가공,인플방문후기,맘껏먹는 다이어트 한달후기,"['서울', '일산', '창원']",41983,1,33,3972,2026-05-07,13,41983.0,0.83,3.03,OFF
재가공,인플방문후기,먹고싶은거다먹는(수원잇츠),"['대구', '서울', '수원', '일산', '창원', '천안']",5933,0,1,621,2026-05-07,13,,0.16,0.0,OFF
재가공,인플방문후기,연예인다이어트(일산 플랜비),['일산'],15297,1,10,2767,2026-05-07,13,15297.0,0.36,10.0,OFF
재가공,인플방문후기,연예인다이어트(플랜비),"['대구', '대전', '부평', '서울', '수원', '창원', '천안']",67270,0,21,7175,2026-05-07,13,,0.29,0.0,OFF
재가공,진료QnA,지긋지긋 40대 뱃살 고생없이,['천안'],0,0,0,0,2026-04-26,1,,,,OFF
재가공,진료셀프캠,4050다이어트비밀,['부평'],0,0,0,0,2026-05-06,8,,,,OFF
재가공,진료셀프캠,50대다이어트대사,"['대구', '대전', '부평', '서울', '창원', '천안']",63685,1,27,7745,2026-05-07,13,63685.0,0.35,3.7,OFF
재가공,진료셀프캠,비만주사 10년은 늙어보인대요,['천안'],0,0,0,0,2026-04-30,2,,,,OFF
재가공,진료셀프캠,비만주사가놓친것,"['대구', '대전', '부평', '수원', '일산', '창원', '천안']",0,0,0,0,2026-05-06,12,,,,OFF
재가공,진료셀프캠,비만주사끊고15kg,['수원'],0,0,0,0,2026-04-25,1,,,,OFF
재가공,진료셀프캠,비만주사는입만막을뿐,"['대구', '대전', '부평', '서울', '수원', '일산', '창원', '천안']",448830,15,176,63306,2026-05-08,14,29922.0,0.28,8.52,OFF
재가공,진료셀프캠,비만주사없이 체질,['수원'],0,0,0,0,2026-05-04,4,,,,OFF
재가공,진료셀프캠,운동안해도되는,"['대구', '대전', '서울', '수원', '창원', '천안']",523872,10,240,45450,2026-05-07,13,52387.0,0.53,4.17,OFF
재가공,진료셀프캠,의사가권하지않는4050,"['서울', '수원', '일산', '창원', '천안']",3622,0,1,604,2026-05-07,13,,0.17,0.0,OFF
재가공,진료셀프캠,주사형비만치료제 고민끝에 40대부부 -32kg,['일산'],0,0,0,0,2026-04-27,1,,,,OFF
재가공,진료셀프캠,창원 다이어트 성지,['창원'],0,0,0,0,2026-04-25,1,,,,OFF
