소재유형,신규_소재수,신규_CTR,신규_CVR,신규_CPA,재가공_소재수,재가공_CTR,재가공_CVR,재가공_CPA,CTR_변화율,CVR_변화율,CPA_변화율,훅판정
의료진정보,1,0.83,0.0,,0,,,,,,,데이터 부족 — 판정 불가
인플방문후기,1,0.38,7.63,29643.0,1,0.69,8.7,12804.0,81.6,14.0,-56.8,"재가공 유효 — 클릭, 전환 모두 개선"
진료셀프캠,1,1.38,3.68,28244.0,8,0.78,7.46,25303.0,-43.5,102.7,-10.4,"부분 효과 — 클릭 DOWN, 전환 UP (정밀 타겟팅 가능성)"
