age_group,총비용,총전환,총클릭,총노출,귀속주의,비용비중,전환비중,CPA,CTR,예산효율점수,효율판정,신뢰도주의
25-34,443280,5,303,86319,0,2.4,0.9,88656.0,0.35,0.38,🔴 비효율 — 해당 나이대 맞춤 소재 개발 필요,
35-44,4648617,136,2227,512193,2,25.3,24.0,34181.0,0.43,0.95,➡️ 양호,⚠️ 귀속 주의 2건 포함
45-54,7981340,244,3940,610635,5,43.4,43.1,32710.0,0.65,0.99,➡️ 양호,⚠️ 귀속 주의 5건 포함
≥55,5308423,181,2881,443465,4,28.9,32.0,29328.0,0.65,1.11,➡️ 양호,⚠️ 귀속 주의 4건 포함
