소재유형,총비용,총전환,총클릭,총노출,소재수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
진료셀프캠,11940685,448,6144,918879,8,71.3,72.1,26653.0,0.67,7.29,1.01
인플방문후기,4521501,164,2378,453187,7,27.0,26.4,27570.0,0.52,6.9,0.98
의료진정보,287475,9,140,39085,2,1.7,1.4,31942.0,0.36,6.43,0.82
