hour,총비용,총전환,총클릭,총노출,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
0,767303,20,468,71065,4.1,3.4,38365.0,0.66,4.27,0.83
1,501803,34,311,45754,2.7,5.7,14759.0,0.68,10.93,2.11
2,332125,9,206,28572,1.8,1.5,36903.0,0.72,4.37,0.83
3,256663,8,153,20932,1.4,1.3,32083.0,0.73,5.23,0.93
4,272958,11,150,19232,1.5,1.8,24814.0,0.78,7.33,1.2
5,387066,8,183,24149,2.1,1.3,48383.0,0.76,4.37,0.62
6,712236,28,425,43345,3.8,4.7,25437.0,0.98,6.59,1.24
7,982277,21,526,65151,5.3,3.5,46775.0,0.81,3.99,0.66
8,937438,25,451,65529,5.0,4.2,37498.0,0.69,5.54,0.84
9,850045,37,409,60092,4.5,6.2,22974.0,0.68,9.05,1.38
10,834061,40,363,60336,4.5,6.7,20852.0,0.6,11.02,1.49
11,818408,11,318,61274,4.4,1.8,74401.0,0.52,3.46,0.41
12,797323,24,344,67224,4.3,4.0,33222.0,0.51,6.98,0.93
13,799633,18,327,68372,4.3,3.0,44424.0,0.48,5.5,0.7
14,740445,9,340,68299,4.0,1.5,82272.0,0.5,2.65,0.38
15,850408,24,405,83750,4.5,4.0,35434.0,0.48,5.93,0.89
16,879383,23,447,94751,4.7,3.9,38234.0,0.47,5.15,0.83
17,920086,21,428,97635,4.9,3.5,43814.0,0.44,4.91,0.71
18,936706,22,459,96270,5.0,3.7,42578.0,0.48,4.79,0.74
19,976689,27,460,97679,5.2,4.5,36174.0,0.47,5.87,0.87
20,1047326,43,521,107467,5.6,7.2,24356.0,0.48,8.25,1.29
21,1065113,41,612,111657,5.7,6.9,25978.0,0.55,6.7,1.21
22,1056779,52,610,113037,5.7,8.7,20323.0,0.54,8.52,1.53
23,974591,39,581,102897,5.2,6.6,24990.0,0.56,6.71,1.27
