weekday,총비용,총전환,총클릭,총노출,일수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
월,4382503,146,2169,375295,5,19.3,19.7,30017.0,0.58,6.73,1.02
화,4918574,137,2313,403107,5,21.6,18.4,35902.0,0.57,5.92,0.85
수,2961145,110,1573,288371,5,13.0,14.8,26920.0,0.55,6.99,1.14
목,2788529,83,1381,255569,4,12.3,11.2,33597.0,0.54,6.01,0.91
금,3139781,100,1615,307266,4,13.8,13.5,31398.0,0.53,6.19,0.98
토,2977525,112,1746,268444,4,13.1,15.1,26585.0,0.65,6.41,1.15
일,1578119,55,889,132921,4,6.9,7.4,28693.0,0.67,6.19,1.07
