소재유형,총비용,총전환,총클릭,총노출,소재수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
진료셀프캠,14260452,538,7366,1105118,10,81.6,83.0,26506.0,0.67,7.3,1.02
인플방문후기,2968127,103,1409,327373,5,17.0,15.9,28817.0,0.43,7.31,0.94
의료진정보,253563,7,127,37620,2,1.5,1.1,36223.0,0.34,5.51,0.73
