hour,총비용,총전환,총클릭,총노출,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
0,826639,22,516,76559,4.0,3.2,37574.0,0.67,4.26,0.8
1,539242,37,338,49151,2.6,5.4,14574.0,0.69,10.95,2.08
2,363150,11,227,31252,1.8,1.6,33014.0,0.73,4.85,0.89
3,286755,9,175,23107,1.4,1.3,31862.0,0.76,5.14,0.93
4,302971,11,162,21470,1.5,1.6,27543.0,0.75,6.79,1.07
5,436061,11,213,27062,2.1,1.6,39642.0,0.79,5.16,0.76
6,796649,33,470,48044,3.9,4.8,24141.0,0.98,7.02,1.23
7,1093208,24,567,71680,5.3,3.5,45550.0,0.79,4.23,0.66
8,1057631,26,507,73378,5.1,3.8,40678.0,0.69,5.13,0.75
9,942645,37,474,67567,4.6,5.4,25477.0,0.7,7.81,1.17
10,908405,44,409,66494,4.4,6.5,20646.0,0.62,10.76,1.48
11,896816,13,352,67301,4.3,1.9,68986.0,0.52,3.69,0.44
12,887235,32,391,74688,4.3,4.7,27726.0,0.52,8.18,1.09
13,877303,20,361,75132,4.3,2.9,43865.0,0.48,5.54,0.67
14,831200,12,389,75709,4.0,1.8,69267.0,0.51,3.08,0.45
15,950337,26,437,92078,4.6,3.8,36551.0,0.47,5.95,0.83
16,974840,26,499,103390,4.7,3.8,37494.0,0.48,5.21,0.81
17,1018816,22,466,106242,4.9,3.2,46310.0,0.44,4.72,0.65
18,1027535,27,501,104141,5.0,4.0,38057.0,0.48,5.39,0.8
19,1059832,32,508,104484,5.1,4.7,33120.0,0.49,6.3,0.92
20,1150966,50,574,116194,5.6,7.3,23019.0,0.49,8.71,1.3
21,1183995,49,682,121886,5.7,7.2,24163.0,0.56,7.18,1.26
22,1171671,65,683,123573,5.7,9.5,18026.0,0.55,9.52,1.67
23,1057874,43,641,111039,5.1,6.3,24602.0,0.58,6.71,1.24
