소재유형,신규_소재수,신규_CTR,신규_CVR,신규_CPA,재가공_소재수,재가공_CTR,재가공_CVR,재가공_CPA,CTR_변화율,CVR_변화율,CPA_변화율,훅판정
의료진정보,1,0.54,3.77,43712.0,1,0.28,4.69,40354.0,-48.1,24.4,-7.7,"부분 효과 — 클릭 DOWN, 전환 UP (정밀 타겟팅 가능성)"
인플방문후기,1,0.4,6.92,31559.0,4,0.62,9.94,17381.0,55.0,43.6,-44.9,"재가공 유효 — 클릭, 전환 모두 개선"
진료셀프캠,0,,,,10,0.67,7.5,25655.0,,,,데이터 부족 — 판정 불가
