weekday,총비용,총전환,총클릭,총노출,일수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
월,3835409,129,1910,331377,4,16.2,16.2,29732.0,0.58,6.75,1.0
화,4378837,121,2054,365455,4,18.6,15.2,36189.0,0.56,5.89,0.82
수,3482496,131,1803,334249,4,14.8,16.5,26584.0,0.54,7.27,1.11
목,3637256,113,1799,316826,5,15.4,14.2,32188.0,0.57,6.28,0.92
금,3512165,128,1881,340803,5,14.9,16.1,27439.0,0.55,6.8,1.08
토,3179974,119,1877,284924,5,13.5,14.9,26722.0,0.66,6.34,1.1
일,1578119,55,889,132921,4,6.7,6.9,28693.0,0.67,6.19,1.03
