age_group,총비용,총전환,총클릭,총노출,귀속주의,비용비중,전환비중,CPA,CTR,예산효율점수,효율판정,신뢰도주의
25-34,477447,6,318,90786,0,2.3,0.9,79574.0,0.35,0.39,🔴 비효율 — 해당 나이대 맞춤 소재 개발 필요,
35-44,5067288,152,2432,556494,3,24.8,23.3,33337.0,0.44,0.94,➡️ 양호,⚠️ 귀속 주의 3건 포함
45-54,8885931,289,4392,676354,5,43.4,44.3,30747.0,0.65,1.02,➡️ 양호,⚠️ 귀속 주의 5건 포함
≥55,6020996,205,3281,492302,5,29.4,31.4,29371.0,0.67,1.07,➡️ 양호,⚠️ 귀속 주의 5건 포함
