소재유형,신규_소재수,신규_CTR,신규_CVR,신규_CPA,재가공_소재수,재가공_CTR,재가공_CVR,재가공_CPA,CTR_변화율,CVR_변화율,CPA_변화율,훅판정
의료진정보,1,0.58,4.6,34427.0,2,0.5,3.61,44995.0,-13.8,-21.5,30.7,재가공 효과 없음 — 원본 훅 복귀 검토
인플방문후기,4,0.61,6.63,28304.0,9,0.62,7.43,24654.0,1.6,12.1,-12.9,"재가공 유효 — 클릭, 전환 모두 개선"
진료셀프캠,1,0.55,6.8,26153.0,8,0.67,8.21,20998.0,21.8,20.7,-19.7,"재가공 유효 — 클릭, 전환 모두 개선"
