소재유형,신규_소재수,신규_CTR,신규_CVR,신규_CPA,재가공_소재수,재가공_CTR,재가공_CVR,재가공_CPA,CTR_변화율,CVR_변화율,CPA_변화율,훅판정
의료진정보,1,0.59,4.72,33430.0,1,0.61,1.59,97260.0,3.4,-66.3,190.9,재가공 효과 없음 — 원본 훅 복귀 검토
인플방문후기,4,0.51,7.2,24305.0,9,0.64,7.57,24030.0,25.5,5.1,-1.1,"재가공 유효 — 클릭, 전환 모두 개선"
진료QnA,0,,,,1,0.4,8.62,31286.0,,,,데이터 부족 — 판정 불가
진료셀프캠,1,0.55,6.88,25736.0,7,0.65,7.76,23317.0,18.2,12.8,-9.4,"재가공 유효 — 클릭, 전환 모두 개선"
