age_group,총비용,총전환,총클릭,총노출,귀속주의,비용비중,전환비중,CPA,CTR,예산효율점수,효율판정,신뢰도주의
25-34,2113615,33,2458,483129,0,6.5,3.3,64049.0,0.51,0.51,⬇️ 효율 낮음 — 소재/타겟 최적화 검토,
35-44,7828608,245,4214,937932,11,24.0,24.2,31954.0,0.45,1.01,➡️ 양호,⚠️ 귀속 주의 11건 포함
45-54,12687352,402,6839,1127965,7,38.8,39.7,31561.0,0.61,1.02,➡️ 양호,⚠️ 귀속 주의 7건 포함
≥55,10027783,333,6318,941321,7,30.7,32.9,30113.0,0.67,1.07,➡️ 양호,⚠️ 귀속 주의 7건 포함
