소재유형,총비용,총전환,총클릭,총노출,소재수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
진료셀프캠,5068933,228,2840,411449,7,67.6,73.8,22232.0,0.69,8.03,1.09
인플방문후기,2427005,81,1127,276844,2,32.4,26.2,29963.0,0.41,7.19,0.81
