age_group,총비용,총전환,총클릭,총노출,귀속주의,비용비중,전환비중,CPA,CTR,예산효율점수,효율판정,신뢰도주의
25-34,477447,6,318,90786,0,2.3,0.9,79574.0,0.35,0.39,🔴 비효율 — 해당 나이대 맞춤 소재 개발 필요,
35-44,5127957,157,2471,564027,3,24.7,23.4,32662.0,0.44,0.95,➡️ 양호,⚠️ 귀속 주의 3건 포함
45-54,9031497,298,4478,690138,5,43.4,44.4,30307.0,0.65,1.02,➡️ 양호,⚠️ 귀속 주의 5건 포함
≥55,6161437,210,3399,504771,5,29.6,31.3,29340.0,0.67,1.06,➡️ 양호,⚠️ 귀속 주의 5건 포함
