weekday,총비용,총전환,총클릭,총노출,일수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
월,3835409,129,1910,331377,4,16.4,16.2,29732.0,0.58,6.75,0.99
화,4378837,121,2054,365455,4,18.8,15.2,36189.0,0.56,5.89,0.81
수,3482496,131,1803,334249,4,14.9,16.4,26584.0,0.54,7.27,1.1
목,3013211,94,1509,271130,4,12.9,11.8,32055.0,0.56,6.23,0.91
금,3512165,129,1881,340803,5,15.0,16.2,27226.0,0.55,6.86,1.08
토,3366158,132,2021,306421,5,14.4,16.5,25501.0,0.66,6.53,1.15
일,1749339,62,1004,148055,5,7.5,7.8,28215.0,0.68,6.18,1.04
