hour,총비용,총전환,총클릭,총노출,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
0,839010,22,521,77866,4.0,3.1,38137.0,0.67,4.22,0.78
1,549114,37,341,50140,2.6,5.3,14841.0,0.68,10.85,2.04
2,370751,11,234,32048,1.8,1.6,33705.0,0.73,4.7,0.89
3,294321,10,182,23785,1.4,1.4,29432.0,0.77,5.49,1.0
4,310004,11,171,22128,1.5,1.6,28182.0,0.77,6.43,1.07
5,445751,11,222,27811,2.1,1.6,40523.0,0.8,4.95,0.76
6,812498,34,478,49141,3.9,4.8,23897.0,0.97,7.11,1.23
7,1114412,25,579,73084,5.3,3.6,44576.0,0.79,4.32,0.68
8,1092056,27,523,75862,5.2,3.8,40447.0,0.69,5.16,0.73
9,964625,38,491,69815,4.6,5.4,25385.0,0.7,7.74,1.17
10,926897,45,423,68507,4.4,6.4,20598.0,0.62,10.64,1.45
11,915686,16,366,69440,4.4,2.3,57230.0,0.53,4.37,0.52
12,903736,34,400,76503,4.3,4.8,26580.0,0.52,8.5,1.12
13,894693,21,370,76871,4.3,3.0,42604.0,0.48,5.68,0.7
14,847859,12,401,77490,4.0,1.7,70655.0,0.52,2.99,0.42
15,965227,26,450,93818,4.6,3.7,37124.0,0.48,5.78,0.8
16,991487,26,516,105327,4.7,3.7,38134.0,0.49,5.04,0.79
17,1033817,23,482,107777,4.9,3.3,44949.0,0.45,4.77,0.67
18,1042056,29,508,105838,5.0,4.1,35933.0,0.48,5.71,0.82
19,1074195,33,521,106363,5.1,4.7,32551.0,0.49,6.33,0.92
20,1166538,51,585,118041,5.6,7.3,22873.0,0.5,8.72,1.3
21,1197070,50,695,123667,5.7,7.1,23941.0,0.56,7.19,1.25
22,1180239,65,688,124781,5.6,9.2,18158.0,0.55,9.45,1.64
23,1067247,46,654,112169,5.1,6.5,23201.0,0.58,7.03,1.27
