소재유형,총비용,총전환,총클릭,총노출,소재수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
진료셀프캠,5497808,245,3112,428216,7,68.4,72.7,22440.0,0.73,7.87,1.06
인플방문후기,2544034,92,1191,289564,2,31.6,27.3,27653.0,0.41,7.72,0.86
