weekday,총비용,총전환,총클릭,총노출,일수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
월,3585549,131,1746,296804,4,15.6,16.6,27371.0,0.59,7.5,1.06
화,4651040,130,2200,383306,5,20.3,16.5,35777.0,0.57,5.91,0.81
수,3646005,139,1904,344699,5,15.9,17.7,26230.0,0.55,7.3,1.11
목,3114857,98,1593,276320,5,13.6,12.5,31784.0,0.58,6.15,0.92
금,2906631,107,1563,282623,4,12.7,13.6,27165.0,0.55,6.85,1.07
토,3080906,107,1804,278967,4,13.4,13.6,28794.0,0.65,5.93,1.01
일,1935788,75,1151,169892,4,8.4,9.5,25811.0,0.68,6.52,1.13
