소재유형,총비용,총전환,총클릭,총노출,소재수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
진료셀프캠,7338244,320,4074,611480,10,59.1,63.2,22932.0,0.67,7.85,1.07
의료진정보,241908,9,121,31147,2,1.9,1.8,26879.0,0.39,7.44,0.95
인플방문후기,4837000,177,2592,500578,9,39.0,35.0,27328.0,0.52,6.83,0.9
