weekday,총비용,총전환,총클릭,총노출,일수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
월,2954684,104,1567,265218,4,15.6,15.8,28410.0,0.59,6.64,1.01
화,3534225,112,1744,304654,5,18.7,17.0,31556.0,0.57,6.42,0.91
수,3151737,122,1643,306829,5,16.7,18.5,25834.0,0.54,7.43,1.11
목,3291606,99,1637,293735,5,17.4,15.0,33249.0,0.56,6.05,0.86
금,2441864,91,1240,244903,4,12.9,13.8,26834.0,0.51,7.34,1.07
토,2482106,99,1453,233315,4,13.1,15.0,25072.0,0.62,6.81,1.15
일,1035272,32,546,87478,4,5.5,4.9,32352.0,0.62,5.86,0.89
