hour,총비용,총전환,총클릭,총노출,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
0,399331,7,247,37760,4.2,2.1,57047.0,0.65,2.83,0.5
1,290479,28,185,27691,3.1,8.5,10374.0,0.67,15.14,2.74
2,196790,6,124,18122,2.1,1.8,32798.0,0.68,4.84,0.86
3,158095,7,92,13389,1.7,2.1,22585.0,0.69,7.61,1.24
4,159643,9,88,12095,1.7,2.7,17738.0,0.73,10.23,1.59
5,211592,4,112,14616,2.2,1.2,52898.0,0.77,3.57,0.55
6,389334,17,253,26244,4.1,5.1,22902.0,0.96,6.72,1.24
7,549828,11,314,40378,5.8,3.3,49984.0,0.78,3.5,0.57
8,554442,18,287,41923,5.9,5.4,30802.0,0.68,6.27,0.92
9,474590,16,234,35887,5.0,4.8,29662.0,0.65,6.84,0.96
10,444940,20,203,33904,4.7,6.0,22247.0,0.6,9.85,1.28
11,406765,8,140,31037,4.3,2.4,50846.0,0.45,5.71,0.56
12,395220,12,185,36035,4.2,3.6,32935.0,0.51,6.49,0.86
13,405600,12,170,37752,4.3,3.6,33800.0,0.45,7.06,0.84
14,407408,7,205,40477,4.3,2.1,58201.0,0.51,3.41,0.49
15,418724,16,214,46120,4.4,4.8,26170.0,0.46,7.48,1.09
16,422182,9,243,50472,4.5,2.7,46909.0,0.48,3.7,0.6
17,444364,10,227,51301,4.7,3.0,44436.0,0.44,4.41,0.64
18,451495,16,231,48966,4.8,4.8,28218.0,0.47,6.93,1.0
19,435453,12,214,43418,4.6,3.6,36288.0,0.49,5.61,0.78
20,452825,24,225,46537,4.8,7.3,18868.0,0.48,10.67,1.52
21,488632,16,284,48779,5.2,4.8,30540.0,0.58,5.63,0.92
22,466115,25,290,49915,4.9,7.6,18645.0,0.58,8.62,1.55
23,406614,21,257,43600,4.3,6.3,19363.0,0.59,8.17,1.47
