age_group,총비용,총전환,총클릭,총노출,귀속주의,비용비중,전환비중,CPA,CTR,예산효율점수,효율판정,신뢰도주의
25-34,322670,5,241,65517,0,2.7,1.2,64534.0,0.37,0.44,🔴 비효율 — 해당 나이대 맞춤 소재 개발 필요,
35-44,3114873,105,1587,361087,2,26.3,26.1,29665.0,0.44,0.99,➡️ 양호,⚠️ 귀속 주의 2건 포함
45-54,5094240,174,2592,413030,5,42.9,43.3,29277.0,0.63,1.01,➡️ 양호,⚠️ 귀속 주의 5건 포함
≥55,3329646,118,1868,297284,4,28.1,29.4,28217.0,0.63,1.05,➡️ 양호,⚠️ 귀속 주의 4건 포함
