소재유형,신규_소재수,신규_CTR,신규_CVR,신규_CPA,재가공_소재수,재가공_CTR,재가공_CVR,재가공_CPA,CTR_변화율,CVR_변화율,CPA_변화율,훅판정
의료진정보,1,0.57,3.96,40632.0,1,0.3,5.36,33767.0,-47.4,35.4,-16.9,"부분 효과 — 클릭 DOWN, 전환 UP (정밀 타겟팅 가능성)"
인플방문후기,3,0.55,6.64,28142.0,6,0.5,7.8,22930.0,-9.1,17.5,-18.5,"부분 효과 — 클릭 DOWN, 전환 UP (정밀 타겟팅 가능성)"
진료셀프캠,1,0.57,6.57,26582.0,9,0.67,8.15,22301.0,17.5,24.0,-16.1,"재가공 유효 — 클릭, 전환 모두 개선"
