age_group,총비용,총전환,총클릭,총노출,귀속주의,비용비중,전환비중,CPA,CTR,예산효율점수,효율판정,신뢰도주의
25-34,393703,5,282,78276,0,2.6,1.0,78741.0,0.36,0.38,🔴 비효율 — 해당 나이대 맞춤 소재 개발 필요,
35-44,3835349,119,1923,438142,2,25.5,24.3,32230.0,0.44,0.95,➡️ 양호,⚠️ 귀속 주의 2건 포함
45-54,6515824,209,3346,511540,5,43.2,42.7,31176.0,0.65,0.99,➡️ 양호,⚠️ 귀속 주의 5건 포함
≥55,4322909,157,2438,371890,4,28.7,32.0,27534.0,0.66,1.11,➡️ 양호,⚠️ 귀속 주의 4건 포함
