소재유형,총비용,총전환,총클릭,총노출,소재수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
인플방문후기,3893891,161,2147,402174,7,28.5,28.8,24186.0,0.53,7.5,1.01
진료셀프캠,9482688,389,5121,732817,8,69.5,69.6,24377.0,0.7,7.6,1.0
의료진정보,272451,9,136,36362,2,2.0,1.6,30272.0,0.37,6.62,0.8
