hour,총비용,총전환,총클릭,총노출,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
0,661793,17,404,63027,4.3,3.3,38929.0,0.64,4.21,0.77
1,444128,32,274,41228,2.9,6.1,13879.0,0.66,11.68,2.1
2,290003,7,179,25677,1.9,1.3,41429.0,0.7,3.91,0.68
3,222778,8,143,18707,1.4,1.5,27847.0,0.76,5.59,1.07
4,234553,11,129,17026,1.5,2.1,21323.0,0.76,8.53,1.4
5,322362,8,166,20878,2.1,1.5,40295.0,0.8,4.82,0.71
6,601534,26,382,37745,3.9,5.0,23136.0,1.01,6.81,1.28
7,841682,19,454,56827,5.5,3.6,44299.0,0.8,4.19,0.65
8,811410,22,399,57452,5.3,4.2,36882.0,0.69,5.51,0.79
9,716982,32,350,51170,4.7,6.1,22406.0,0.68,9.14,1.3
10,673711,29,314,49923,4.4,5.5,23231.0,0.63,9.24,1.25
11,619444,10,247,46913,4.0,1.9,61944.0,0.53,4.05,0.48
12,594042,17,277,52325,3.9,3.3,34944.0,0.53,6.14,0.85
13,600610,18,252,54818,3.9,3.4,33367.0,0.46,7.14,0.87
14,583148,7,287,56327,3.8,1.3,83307.0,0.51,2.44,0.34
15,665663,21,334,68251,4.3,4.0,31698.0,0.49,6.29,0.93
16,682687,20,385,78735,4.4,3.8,34134.0,0.49,5.19,0.86
17,727230,18,369,81403,4.7,3.4,40402.0,0.45,4.88,0.72
18,752273,19,385,79501,4.9,3.6,39593.0,0.48,4.94,0.73
19,795519,23,386,81365,5.2,4.4,34588.0,0.47,5.96,0.85
20,864622,39,439,91112,5.6,7.5,22170.0,0.48,8.88,1.34
21,919302,35,534,98581,6.0,6.7,26266.0,0.54,6.55,1.12
22,916707,48,530,101009,6.0,9.2,19098.0,0.52,9.06,1.53
23,861655,37,524,92776,5.6,7.1,23288.0,0.56,7.06,1.27
