weekday,총비용,총전환,총클릭,총노출,일수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
월,3359148,120,1754,292239,5,16.4,17.0,27993.0,0.6,6.84,1.04
화,3011213,102,1546,258027,4,14.7,14.4,29522.0,0.6,6.6,0.98
수,2597927,100,1400,264725,4,12.7,14.1,25979.0,0.53,7.14,1.11
목,2788529,83,1381,255569,4,13.6,11.7,33597.0,0.54,6.01,0.86
금,3139781,100,1615,307266,4,15.3,14.1,31398.0,0.53,6.19,0.92
토,3495923,130,1980,309768,5,17.1,18.4,26892.0,0.64,6.57,1.08
일,2079888,72,1126,171826,5,10.2,10.2,28887.0,0.66,6.39,1.0
