source,ad_id,change_date,before,after,meta_modify_time
raw_internal,1861708051912898,2026-04-14,(재)_대전_진료셀프캠_식욕억제주사실패 마지막_260407,(재)_대전_진료셀프캠_식욕억제주사실패 마지막_260406,
meta_vs_raw,1860714411785218,2026-04-01,(재)_창원_진료셀프캠_비만주사 10년은 늙어보인대요_260326,"(재)_창원_인플방문후기_건강한다이어트(창원,박고경)_260325의 2 복사",2026-04-15 19:13:55
meta_vs_raw,1859155119020354,2026-04-10,(재)_창원_인플방문후기_끝내주는 다이어트(창원언니쓰)_260211,(재)_창원_인플방문후기_끝내주는 다이어(대읽남)_260211,2026-04-15 19:13:55
meta_vs_raw,1858361825289345,2026-04-13,(신)_서울_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120,(신)_서울_진료셀프캠_주사형 비만치료제보다 더중요한이것_26120,2026-04-15 18:58:56
meta_vs_raw,1856010540142865,2026-03-28,(신)_서울_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120,(신)_서울_진료셀프캠_주사형 비만치료제보다 더중요한이것_26120,2026-02-26 08:55:39
