ad_id,first_seen_date,snapshot_date,before,after
1856011845555234,20260302,20260403,(신)_대구_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120_off,(신)_대구_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120
1856012116691041,20260302,20260403,(신)_천안_진료셀프캠_비교하는 순간 다이어트는 실패_260123_off,(신)_천안_진료셀프캠_비교하는 순간 다이어트는 실패_260123
1856012116691057,20260302,20260317,(신)_천안_진료셀프캠_다이어트 빼는 게 아니라 찾는 것_260123,(신)_천안_진료셀프캠_다이어트 빼는 게 아니라 찾는 것_260123_off
1856012116691057,20260302,20260403,(신)_천안_진료셀프캠_다이어트 빼는 게 아니라 찾는 것_260123_off,(신)_천안_진료셀프캠_다이어트 빼는 게 아니라 찾는 것_260123
1856012116692033,20260302,20260403,(신)_천안_진료셀프캠_살빼라고했지 적게 먹으라곤_260120_off,(신)_천안_진료셀프캠_살빼라고했지 적게 먹으라곤_260120
1856012116692065,20260302,20260401,(신)_천안_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120,(신)_천안_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120_off
1856012116692065,20260302,20260403,(신)_천안_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120_off,(신)_천안_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120
1856981455294610,20260302,20260403,(재)_대구_진료셀프캠_명절음식 급찐살 칼로리 문제가 아닙니다_260211_off,(재)_대구_진료셀프캠_명절음식 급찐살 칼로리 문제가 아닙니다_260211
1856981572423681,20260302,20260403,(신)_일산_의료진정보_주사형비만치료제맞고 한의원찾아오신_260211_off,(신)_일산_의료진정보_주사형비만치료제맞고 한의원찾아오신_260211
1856981696472417,20260302,20260403,(재)_창원_진료셀프캠_명절음식 급찐살 칼로리 문제가 아닙니다_260211_off,(재)_창원_진료셀프캠_명절음식 급찐살 칼로리 문제가 아닙니다_260211
1856981958008962,20260302,20260403,(재)_부평_의료진정보_다이어트는 왜 항상 요요로 끝날까_260211_off,(재)_부평_의료진정보_다이어트는 왜 항상 요요로 끝날까_260211
1856981977978097,20260302,20260403,(재)_부평_진료셀프캠_명절음식 급찐살 칼로리 문제가 아닙니다_260211_off,(재)_부평_진료셀프캠_명절음식 급찐살 칼로리 문제가 아닙니다_260211
1856982021926930,20260302,20260403,(재)_수원_의료진정보_다이어트는 왜 항상 요요로 끝날까_260211_off,(재)_수원_의료진정보_다이어트는 왜 항상 요요로 끝날까_260211
