age_group,총비용,총전환,총클릭,총노출,귀속주의,비용비중,전환비중,CPA,CTR,예산효율점수,효율판정,신뢰도주의
25-34,464486,5,311,89167,0,2.4,0.8,92897.0,0.35,0.33,🔴 비효율 — 해당 나이대 맞춤 소재 개발 필요,
35-44,4841501,143,2322,531786,2,25.1,24.2,33857.0,0.44,0.96,➡️ 양호,⚠️ 귀속 주의 2건 포함
45-54,8376000,257,4119,639081,5,43.4,43.5,32591.0,0.64,1.0,➡️ 양호,⚠️ 귀속 주의 5건 포함
≥55,5597836,186,3021,463313,4,29.0,31.5,30096.0,0.65,1.09,➡️ 양호,⚠️ 귀속 주의 4건 포함
