소재유형,총비용,총전환,총클릭,총노출,소재수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
진료셀프캠,12699240,471,6495,976480,8,72.4,72.8,26962.0,0.67,7.25,1.01
인플방문후기,4546898,167,2384,456741,7,25.9,25.8,27227.0,0.52,7.01,1.0
의료진정보,287252,9,141,39347,2,1.6,1.4,31917.0,0.36,6.38,0.87
