hour,총비용,총전환,총클릭,총노출,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
0,806896,22,499,74203,4.1,3.5,36677.0,0.67,4.41,0.85
1,523355,34,324,47539,2.7,5.4,15393.0,0.68,10.49,2.0
2,345693,9,218,29617,1.8,1.4,38410.0,0.74,4.13,0.78
3,269944,9,161,21763,1.4,1.4,29994.0,0.74,5.59,1.0
4,286299,11,157,20002,1.5,1.8,26027.0,0.78,7.01,1.2
5,407770,9,196,25295,2.1,1.4,45308.0,0.77,4.59,0.67
6,749859,30,442,45475,3.8,4.8,24995.0,0.97,6.79,1.26
7,1040188,22,543,68565,5.3,3.5,47281.0,0.79,4.05,0.66
8,991648,26,470,68719,5.1,4.2,38140.0,0.68,5.53,0.82
9,894241,37,431,62681,4.6,5.9,24169.0,0.69,8.58,1.28
10,873683,41,384,62808,4.5,6.6,21309.0,0.61,10.68,1.47
11,860132,12,334,64076,4.4,1.9,71678.0,0.52,3.59,0.43
12,837324,27,363,70314,4.3,4.3,31012.0,0.52,7.44,1.0
13,832685,19,341,71101,4.3,3.0,43826.0,0.48,5.57,0.7
14,777451,9,359,71399,4.0,1.4,86383.0,0.5,2.51,0.35
15,889968,24,413,87453,4.5,3.8,37082.0,0.47,5.81,0.84
16,924606,24,465,99072,4.7,3.8,38525.0,0.47,5.16,0.81
17,961887,21,446,101513,4.9,3.4,45804.0,0.44,4.71,0.69
18,972347,24,471,99530,5.0,3.8,40514.0,0.47,5.1,0.76
19,1012289,28,478,100616,5.2,4.5,36153.0,0.48,5.86,0.87
20,1093599,43,535,111582,5.6,6.9,25433.0,0.48,8.04,1.23
21,1119991,45,637,116459,5.7,7.2,24889.0,0.55,7.06,1.26
22,1105927,59,641,117636,5.6,9.4,18745.0,0.54,9.2,1.68
23,1014648,40,608,106667,5.2,6.4,25366.0,0.57,6.58,1.23
