weekday,총비용,총전환,총클릭,총노출,일수,비용비중,전환비중,CPA,CTR,CVR,예산효율점수
월,3835409,129,1910,331377,4,16.6,17.1,29732.0,0.58,6.75,1.03
화,4918574,137,2313,403107,5,21.3,18.1,35902.0,0.57,5.92,0.85
수,3482496,131,1803,334250,5,15.1,17.3,26584.0,0.54,7.27,1.15
목,3162406,92,1570,279285,5,13.7,12.2,34374.0,0.56,5.86,0.89
금,3139781,100,1615,307266,4,13.6,13.2,31398.0,0.53,6.19,0.97
토,2977525,112,1746,268444,4,12.9,14.8,26585.0,0.65,6.41,1.15
일,1578119,55,889,132921,4,6.8,7.3,28693.0,0.67,6.19,1.07
